#RUN	ENERGY[GeV]	RUNTYPE	CONFIGURATION
1026	200.	electron	1
852		150.	electron	1
853		150.	electron	1
854		150.	electron	1
855		150.	electron	1
856		150.	electron	1
857		150.	electron	1
858		150.	electron	1
859		150.	electron	1
860		150.	electron	1
862		150.	electron	1
866		70.		electron	1
867		70.		electron	1
878		70.		electron	1
879		70.		electron	1
880		70.		electron	1
881		70.		electron	1
882		70.		electron	1
887		70.		electron	1
888		70.		electron	1
920		20.		electron	1
921		20.		electron	1
922		20.		electron	1
923		20.		electron	1
924		20.		electron	1
925		20.		electron	1
926		20.		electron	1
927		20.		electron	1
928		20.		electron	1
929		20.		electron	1
944		250.	electron	1
945		250.	electron	1
946		250.	electron	1
947		250.	electron	1
948		250.	electron	1
949		250.	electron	1
950		250.	electron	1
951		250.	electron	1
952		250.	electron	1
953		250.	electron	1
1026	200.	electron	1
1027	200.	electron	1
1028	200.	electron	1
1029	200.	electron	1
1030	200.	electron	1
1038	200.	electron	1
1039	200.	electron	1
1040	200.	electron	1
1041	200.	electron	1
1042	200.	electron	1
1051	100.	electron	1
1052	100.	electron	1
1053	100.	electron	1
1054	100.	electron	1
1056	100.	electron	1
1069	100.	electron	1
1070	100.	electron	1
1071	100.	electron	1
1072	100.	electron	1
1073	100.	electron	1
1088	32.		electron	1
1089	32.		electron	1
1091	32.		electron	1
1092	32.		electron	1
1093	32.		electron	1
1094	32.		electron	1
1095	32.		electron	1
1098	32.		electron	1
1099	32.		electron	1
1100	32.		electron	1
1125	150.	electron	2
//1126	150.	electron	2
//1128	150.	electron	2
//1129	150.	electron	2
//1130	150.	electron	2
//1168	70.		electron	2
//1169	70.		electron	2
//1170	70.		electron	2
//1171	70.		electron	2
//1172	70.		electron	2
//1188	200.	electron	2
//1189	200.	electron	2
//1190	200.	electron	2
//1191	200.	electron	2
//1192	200.	electron	2
//1217	100.	electron	2
//1218	100.	electron	2
//1219	100.	electron	2
//1220	100.	electron	2
//1221	100.	electron	2
//1240	32.		electron	2
//1241	32.		electron	2
//1242	32.		electron	2
//1243	32.		electron	2
//1244	32.		electron	2
//1260	20.		electron	2
//1261	20.		electron	2
//1262	20.		electron	2
//1263	20.		electron	2
//1264	20.		electron	2
//1299	250.	electron	2
//1300	250.	electron	2
//1301	250.	electron	2
//1302	250.	electron	2
//1303	250.	electron	2
