#RUN 	MWCRUN	ENERGY[GeV]	RUNTYPE	CONFIGURATION
921		xxx		20.		electron	1
922		xxx		20.		electron	1
923		4875		20.		electron	1
925		xxx		20.		electron	1
926		4878		20.		electron	1
927		4879		20.		electron	1
929		xxx		20.		electron	1
930		4882		20.		electron	1
931		xxx		20.		electron	1
932		4884		20.		electron	1
1088	xxx		32.		electron	1
1091	5027		32.		electron	1
1094	xxx		32.		electron	1
1095	xxx		32.		electron	1
1098	5034		32.		electron	1
1101	5037		32.		electron	1
1102	5038		32.		electron	1
1104	5040		32.		electron	1
1105	5041		32.		electron	1
1106	5042		32.		electron	1
865		4836		70.		electron	1
866		xxx		70.		electron	1
867		xxx		70.		electron	1
868		xxx		70.		electron	1
875		xxx		70.		electron	1
881		xxx		70.		electron	1
882		xxx		70.		electron	1
883		xxx		70.		electron	1
884		xxx		70.		electron	1
887		4856		70.		electron	1
1051	xxx		100.	electron	1
1052	xxx		100.	electron	1
1053	xxx		100.	electron	1
1054	xxx		100.	electron	1
1056	xxx		100.	electron	1
1069	xxx		100.	electron	1
1070	xxx		100.	electron	1
1071	xxx		100.	electron	1
1072	xxx		100.	electron	1
1073	xxx		100.	electron	1
851		4824		150.	electron	1
852		xxx		150.	electron	1
853		xxx		150.	electron	1
854		xxx		150.	electron	1
855		xxx		150.	electron	1
856		xxx		150.	electron	1
857		xxx		150.	electron	1
858		xxx		150.	electron	1
859		xxx		150.	electron	1
860		xxx		150.	electron	1
1031	xxx		200.	electron	1
1032	xxx		200.	electron	1
1033	4975		200.	electron	1
1034	4976		200.	electron	1
1035	xxx		200.	electron	1
1036	xxx		200.	electron	1
1037	4979		200.	electron	1
1038	4980		200.	electron	1
1039	xxx		200.	electron	1
1040	xxx		200.	electron	1
937		4887		250.	electron	1
939		4889		250.	electron	1
940		4890		250.	electron	1
948		4898		250.	electron	1
949		4899		250.	electron	1
950		4900		250.	electron	1
952		4902		250.	electron	1
953		4903		250.	electron	1
954		4904		250.	electron	1
956		4906		250.	electron	1
960		4909		250.	electron	1
961		4910		250.	electron	1
