SKI CHANNEL Ped_Mean Ped_RMS
1 0 248.657 1.32334
1 1 245.779 4.32032
1 2 241.246 3.33719
1 3 246.955 4.14751
1 4 242.926 2.10072
1 5 248.834 4.16647
1 6 247.625 4.04432
1 7 247.814 2.80411
1 8 247.155 4.40743
1 9 245.73 3.55566
1 10 243.271 4.02113
1 11 245.329 3.99005
1 12 241.874 5.2121
1 13 239.344 4.00542
1 14 231.045 4.25923
1 15 251.892 4.1476
1 16 240.843 3.97764
1 17 250.487 4.05412
1 18 243.515 4.3467
1 19 245.359 4.40871
1 20 394.758 4.15828
1 21 239.647 4.38017
1 22 242.375 4.63148
1 23 243.681 4.65896
1 24 244.75 5.17755
1 25 245.997 5.00922
1 26 242.205 5.05471
1 27 247.002 4.67989
1 28 238.476 2.19372
1 29 247.642 4.46944
1 30 240.018 4.50455
1 31 237.782 4.30301
1 32 242.37 3.86803
1 33 247.171 4.60035
1 34 244.122 4.782
1 35 241.074 4.02277
1 36 241.665 4.67944
1 37 240.075 4.50893
1 38 232.851 2.92494
1 39 235.388 3.48276
1 40 246.275 4.195
1 41 243.304 4.23501
1 42 245.222 4.31385
1 43 243.962 4.79232
1 44 242.679 4.45778
1 45 248.229 2.2514
1 46 238.879 4.65385
1 47 247.33 4.83187
1 48 237.414 4.55285
1 49 247.981 4.66412
1 50 251.095 2.17918
1 51 244.143 5.01275
1 52 243.095 4.69966
1 53 241.55 4.65304
1 54 242.124 4.80393
1 55 282.632 5.07327
1 56 251.312 4.54176
1 57 248.809 4.05271
1 58 241.119 2.68615
1 59 245.637 4.44231
1 60 238.06 4.23462
1 61 238.897 2.06229
1 62 238.699 4.19397
1 63 243.15 3.83637
2 0 221.83 1.2904
2 1 218.258 4.96217
2 2 222.982 5.22968
2 3 218.733 5.48823
2 4 219.725 4.9427
2 5 227.886 5.16744
2 6 228.067 4.31319
2 7 221.417 4.14178
2 8 227.823 5.14087
2 9 228.294 2.08502
2 10 221.94 4.26042
2 11 216.373 4.68295
2 12 235.132 4.09469
2 13 226.39 4.2877
2 14 224.594 2.91564
2 15 224.048 4.28904
2 16 179.173 4.42542
2 17 229.333 4.90008
2 18 223.94 5.34607
2 19 225.665 3.47643
2 20 222.398 5.33138
2 21 218.66 4.56498
2 22 220.026 5.06468
2 23 225.117 2.28906
2 24 223.486 4.41414
2 25 218.946 5.06686
2 26 219.661 5.34256
2 27 220.278 4.57358
2 28 225.412 2.2674
2 29 223.455 3.66371
2 30 221.682 5.14618
2 31 227.857 5.01265
2 32 213.637 2.82708
2 33 221.256 4.9337
2 34 217.552 4.55782
2 35 219.894 3.84628
2 36 222.184 4.41538
2 37 219.233 3.90843
2 38 218.096 2.06664
2 39 224.899 3.88769
2 40 223.237 3.60805
2 41 198.228 3.82119
2 42 183.211 2.19136
2 43 195.367 3.82105
2 44 210.643 4.21065
2 45 172.977 3.62287
2 46 224.149 4.55971
2 47 223.112 4.53658
2 48 229.19 2.84768
2 49 372.713 3.91678
2 50 223.83 4.15634
2 51 229.048 4.03865
2 52 216.018 2.15295
2 53 220.785 4.30848
2 54 192.156 4.15045
2 55 189.131 4.82869
2 56 195.934 4.65565
2 57 213.221 5.08605
2 58 224.195 4.77934
2 59 225.835 4.70166
2 60 224.248 5.02494
2 61 226.996 4.67219
2 62 221.553 4.80231
2 63 230.003 3.96915
