SKI CHANNEL Ped_Mean Ped_RMS
1 0 242.146 0.697844
1 1 243.652 0.841946
1 2 239.624 0.819791
1 3 245.028 0.764791
1 4 244.584 0.726343
1 5 239.133 0.831579
1 6 240.379 0.81818
1 7 234.056 0.762941
1 8 232.951 0.860402
1 9 242.678 0.82358
1 10 243.77 0.793162
1 11 242.406 0.821112
1 12 241.408 0.918466
1 13 239.934 0.844609
1 14 240.626 0.820684
1 15 241.826 0.828211
1 16 239.081 0.81601
1 17 241.266 0.836407
1 18 247.734 0.864756
1 19 236.812 0.826686
1 20 257.748 0.825464
1 21 236.493 0.854643
1 22 248.28 0.874197
1 23 245.733 0.883175
1 24 241.106 0.876953
1 25 241.472 0.876509
1 26 234.812 0.875261
1 27 241.039 0.848774
1 28 242.82 0.729711
1 29 239.576 1.66203
1 30 240.229 0.862805
1 31 245.226 0.82727
1 32 239.591 0.85608
1 33 238.608 0.88503
1 34 242.925 0.877186
1 35 245.635 0.813821
1 36 236.894 0.85821
1 37 234.012 0.860566
1 38 239.792 0.769499
1 39 242.749 0.805103
1 40 236.581 0.834061
1 41 242.78 0.847619
1 42 243.293 0.85153
1 43 243.323 0.863438
1 44 236.927 0.867599
1 45 239.119 0.731186
1 46 244.896 0.858621
1 47 242.666 0.850778
1 48 238.501 0.854102
1 49 236.503 0.869677
1 50 241.384 0.73764
1 51 240.947 0.87991
1 52 240.365 0.86488
1 53 239.965 0.878899
1 54 243.087 0.837635
1 55 240.863 0.883001
1 56 237.945 0.856732
1 57 233.859 0.835171
1 58 237.478 0.750654
1 59 245.868 0.851929
1 60 240.083 0.857495
1 61 240.572 0.742623
1 62 248.267 0.845812
1 63 239.838 0.845052
2 0 232.713 0.673419
2 1 225.43 0.860089
2 2 237.487 0.912069
2 3 236.957 0.895344
2 4 233.283 0.84084
2 5 235.826 0.868402
2 6 232.238 0.816234
2 7 228.782 0.860616
2 8 231.84 0.89426
2 9 233.355 0.782477
2 10 228.98 0.817192
2 11 233.856 0.82566
2 12 236.726 0.7992
2 13 230.024 0.828516
2 14 230.245 0.756467
2 15 235.77 0.835144
2 16 232.556 0.835784
2 17 232.121 0.864041
2 18 233.724 0.895778
2 19 227.709 0.795116
2 20 228.506 0.882205
2 21 230.128 0.849943
2 22 236.089 0.861454
2 23 227.809 0.724154
2 24 234.455 0.81667
2 25 237.322 0.894577
2 26 237.079 0.876563
2 27 236.503 0.842296
2 28 233.245 0.741633
2 29 228.529 0.79927
2 30 227.195 0.874989
2 31 233.337 0.87468
2 32 221.936 0.74559
2 33 229.285 0.876126
2 34 230.224 0.845312
2 35 229.364 0.814258
2 36 229.39 0.834164
2 37 231.689 0.821427
2 38 234.113 0.726838
2 39 232.366 0.810717
2 40 233.486 0.795369
2 41 230.172 0.820322
2 42 233.947 0.721681
2 43 227.877 0.797754
2 44 227.377 0.838814
2 45 222.345 0.812827
2 46 227.487 0.858286
2 47 227.141 0.871247
2 48 234.374 0.783005
2 49 245.524 0.798811
2 50 230.796 0.806462
2 51 231.905 0.806174
2 52 226.811 0.722538
2 53 227.237 0.853
2 54 228.135 0.820406
2 55 220.207 0.853392
2 56 231.681 0.836477
2 57 237.466 0.86537
2 58 234.741 0.86301
2 59 228.71 0.845281
2 60 234.093 0.885642
2 61 235.073 0.86094
2 62 228.05 0.852077
2 63 231.889 0.798135
